# timestamp,q0,q1,q2,q3,omega_x,omega_y,omega_z,roll,pitch,yaw
1.838137149810791016e+00,9.947539567947387695e-01,-5.066423211246728897e-03,-1.458804961293935776e-02,1.011238023638725281e-01,4.934213940805568877e-04,-5.156879018071540421e-04,-2.869311128978702867e-05,-2.858758264664696888e-02,-1.303045590732946311e-02,1.987706593003999989e-01
1.850253820419311523e+00,9.995030164718627930e-01,-5.659556016325950623e-03,-1.755581051111221313e-02,-2.556486614048480988e-02,-1.982997558482200388e-04,-2.433149564754786079e-04,-5.769628760061524739e-04,-3.543689443385375504e-02,-1.041605107470406494e-02,-5.089627564810391552e-02
1.860514163970947266e+00,9.994822144508361816e-01,-6.098489277064800262e-03,-1.788935996592044830e-02,-2.604189887642860413e-02,-4.275603499186155193e-04,-3.117136051973320564e-04,-3.592739090657125320e-04,-3.613426239365280512e-02,-1.125915521150227215e-02,-5.182923650240264801e-02
1.870740413665771484e+00,9.968544244766235352e-01,-5.181309767067432404e-03,-1.968641765415668488e-02,7.659547030925750732e-02,7.945192996709712387e-04,1.638960788068665137e-04,7.613168968341367179e-03,-3.892271184872096029e-02,-1.334620017264231094e-02,1.518616303405834200e-01
1.881037712097167969e+00,9.966844320297241211e-01,-4.986647050827741623e-03,-1.961342617869377136e-02,7.880801707506179810e-02,8.260148501489058322e-04,1.411914792411154442e-04,7.679952186882595642e-03,-3.880343489293221204e-02,-1.303198629058744361e-02,1.561367023249689012e-01
1.891249656677246094e+00,9.965082406997680664e-01,-4.805776290595531464e-03,-1.956841535866260529e-02,8.102754503488540649e-02,8.216369275985273323e-04,8.568233725437955823e-05,7.744951118741381230e-03,-3.874062012808929256e-02,-1.274949806825598393e-02,1.604183258346054408e-01
1.901543855667114258e+00,9.963266849517822266e-01,-4.631363786756992340e-03,-1.951245591044425964e-02,8.325281739234924316e-02,7.859321658191281050e-04,5.846622785737568023e-05,7.769158967853725950e-03,-3.865672561369237759e-02,-1.247796031400384004e-02,1.647028011102858458e-01
1.911812543869018555e+00,9.961369037628173828e-01,-4.465881269425153732e-03,-1.945761404931545258e-02,8.551461249589920044e-02,7.585006463643201996e-04,7.382678154793851613e-05,7.845340049334884394e-03,-3.857564457188260992e-02,-1.222538346366701736e-02,1.690493879559100687e-01
1.922007560729980469e+00,9.959391951560974121e-01,-4.291435237973928452e-03,-1.941530033946037292e-02,8.780556172132492065e-02,7.511471454328609272e-04,5.551297757125298450e-05,7.962330805934295097e-03,-3.852359627296193800e-02,-1.195784479197111588e-02,1.734428023718589673e-01
1.932402372360229492e+00,9.957348108291625977e-01,-4.130374174565076828e-03,-1.937552727758884430e-02,9.010963141918182373e-02,7.381103340956728315e-04,3.910609004188021678e-05,8.038483417846116127e-03,-3.847645218684263985e-02,-1.171762607969466935e-02,1.778524635269079779e-01
