# timestamp,q0,q1,q2,q3,omega_x,omega_y,omega_z,roll,pitch,yaw
1.936794996261596680e+00,9.858307242393493652e-01,-8.447441272437572479e-03,-1.057402789592742920e-02,-1.671962887048721313e-01,-9.552161469366059188e-05,-3.427657348701682190e-04,7.075728354645085909e-05,-1.311999425025154632e-02,-2.507577677140589503e-02,-3.183837091752716453e-01
1.947161436080932617e+00,9.655545353889465332e-01,-1.385279092937707901e-02,-1.882073283195495605e-02,-2.591492235660552979e-01,-2.342698311365252068e-05,1.172010374140151012e-04,1.156810619954344241e-03,-1.699731205178272794e-02,-5.027670460221415200e-02,-4.640240267484732062e-01
1.957381010055541992e+00,9.658963084220886230e-01,-1.383077818900346756e-02,-1.862078160047531128e-02,-2.578882277011871338e-01,-8.933591534264195822e-06,2.152535659556608836e-04,1.138210985495951080e-03,-1.711486999223253702e-02,-4.971702903917483291e-02,-4.622126528989769501e-01
1.967701435089111328e+00,9.777605533599853516e-01,-1.172866858541965485e-02,-1.922436803579330444e-02,-2.085120379924774170e-01,-1.536815495663663674e-04,-2.761459440034417612e-04,7.523025596640150504e-04,-1.491918810738407375e-02,-4.653494435993921208e-02,-3.871371557393885610e-01
1.977940082550048828e+00,9.778019785881042480e-01,-1.180501282215118408e-02,-1.931044645607471466e-02,-2.083052843809127808e-01,-1.636989706150661209e-04,-3.223495312712418835e-04,7.541805344700483167e-04,-1.504156089055538534e-02,-4.674180585525294224e-02,-3.868042013605287877e-01
1.988134145736694336e+00,9.778423905372619629e-01,-1.188284903764724731e-02,-1.937365718185901642e-02,-2.081052958965301514e-01,-2.031754782599278820e-04,-3.421353372633784422e-04,7.264062181599353994e-04,-1.517616824376987264e-02,-4.690065957600544899e-02,-3.864819387634354508e-01
1.998304367065429688e+00,9.778850078582763672e-01,-1.195040624588727951e-02,-1.942701451480388641e-02,-2.078959792852401733e-01,-2.115932472247855568e-04,-2.863463292423379684e-04,7.319907565904066075e-04,-1.529524616333487359e-02,-4.703308086394489967e-02,-3.861447774438933056e-01
2.008596658706665039e+00,9.779260158538818359e-01,-1.203099358826875687e-02,-1.949812471866607666e-02,-2.076916694641113281e-01,-2.115678642796734799e-04,-2.863381224532172932e-04,7.394177554916899582e-04,-1.543225964133993280e-02,-4.720962053082843057e-02,-3.858152246902846194e-01
2.018883705139160156e+00,9.779664278030395508e-01,-1.211473718285560608e-02,-1.956055313348770142e-02,-2.074905335903167725e-01,-2.231239311922033545e-04,-3.084212302309035899e-04,7.245868529009849091e-04,-1.557898345350463253e-02,-4.736908043825945047e-02,-3.854905594407470604e-01
2.029121398925781250e+00,9.780064225196838379e-01,-1.218678988516330719e-02,-1.961696706712245941e-02,-2.072925716638565063e-01,-2.153711663387017188e-04,-2.862988496990846276e-04,7.134303404163069373e-04,-1.570526007469671276e-02,-4.751045953670900851e-02,-3.851711182307292480e-01
2.039435148239135742e+00,9.780454635620117188e-01,-1.226160861551761627e-02,-1.967254281044006348e-02,-2.070987224578857422e-01,-2.019852941146895646e-04,-2.605605433554168790e-04,7.004059482024784216e-04,-1.583716642474460035e-02,-4.765144734503738710e-02,-3.848580867227641145e-01
2.049654483795166016e+00,9.780826568603515625e-01,-1.233057212084531784e-02,-1.973047293722629547e-02,-2.069131284952163696e-01,-1.964174052984299357e-04,-2.569623565545656142e-04,6.781137670249596508e-04,-1.595632679998824563e-02,-4.779523251235072434e-02,-3.845582887359619284e-01
2.059915304183959961e+00,9.781184196472167969e-01,-1.239580381661653519e-02,-1.977504044771194458e-02,-2.067359685897827148e-01,-1.868639583408564632e-04,-2.348881092040715039e-04,6.483860170247749636e-04,-1.607339589257421320e-02,-4.790917935245055104e-02,-3.842720537757036703e-01
2.070421695709228516e+00,9.781553149223327637e-01,-1.246283575892448425e-02,-1.979571953415870667e-02,-2.065551280975341797e-01,-1.990450121894726733e-04,-1.790516216397776894e-04,6.409804429269482439e-04,-1.620407241807747534e-02,-4.797253564978933016e-02,-3.839797555925326122e-01
2.080659866333007812e+00,9.781889319419860840e-01,-1.253740489482879639e-02,-1.982238702476024628e-02,-2.063889056444168091e-01,-2.247178276296931418e-04,-1.508285283237022103e-04,6.224614238307136236e-04,-1.634638783758013067e-02,-4.805292865558160459e-02,-3.837107273795661300e-01
2.091068029403686523e+00,9.782231450080871582e-01,-1.259668543934822083e-02,-1.982761360704898834e-02,-2.062226682901382446e-01,-2.148924853909654059e-04,-1.120615266489015957e-04,5.964461565108371017e-04,-1.646767601249009630e-02,-4.808052557245151570e-02,-3.834419357097622050e-01
2.101362466812133789e+00,9.782549738883972168e-01,-1.266611367464065552e-02,-1.984992437064647675e-02,-2.060646414756774902e-01,-2.074687909932660713e-04,-1.103411058530329695e-04,5.815775607913390441e-04,-1.660140487233084661e-02,-4.814966608749509519e-02,-3.831859856832109945e-01
2.111618757247924805e+00,9.782881140708923340e-01,-1.273362245410680771e-02,-1.987242139875888824e-02,-2.059013545513153076e-01,-2.098371759190975031e-04,-1.418390893171228117e-04,5.760129946352764716e-04,-1.673156666644565888e-02,-4.821796586930639922e-02,-3.829215979108095413e-01
2.121888875961303711e+00,9.783189892768859863e-01,-1.279710233211517334e-02,-1.988709531724452972e-02,-2.057494521141052246e-01,-1.946719011415653600e-04,-1.216928927115884756e-04,5.648422473659289256e-04,-1.685657677881923638e-02,-4.826838008329856211e-02,-3.826755455704691777e-01
2.140618801116943359e+00,9.783517122268676758e-01,-1.285350602120161057e-02,-1.987764984369277954e-02,-2.055905908346176147e-01,-1.919410375918298201e-04,-6.424447011469126552e-05,5.574076226871441412e-04,-1.697799934298017954e-02,-4.826357675243533180e-02,-3.824183359113546010e-01
2.150790214538574219e+00,9.784133434295654297e-01,-1.294756401330232620e-02,-1.984229125082492828e-02,-2.052948623895645142e-01,-1.705488615690046105e-04,3.031205775386588559e-07,5.313689333363701573e-04,-1.718994446299641418e-02,-4.821167420977193890e-02,-3.819396911595842048e-01
2.170984506607055664e+00,9.784398674964904785e-01,-1.300383731722831726e-02,-1.982880942523479462e-02,-2.051662206649780273e-01,-1.781049539894202576e-04,2.239607161548752995e-06,4.868209931472087908e-04,-1.731140659104870791e-02,-4.819998908596787035e-02,-3.817310709652443901e-01
2.181171178817749023e+00,9.784933924674987793e-01,-1.308258157223463058e-02,-1.979753375053405762e-02,-2.049087882041931152e-01,-1.445201311205152755e-04,1.280104544652370250e-05,4.626175016220073519e-04,-1.748995362725074693e-02,-4.815223082214073469e-02,-3.813141482328373244e-01
2.191513299942016602e+00,9.785202145576477051e-01,-1.312729716300964355e-02,-1.977603510022163391e-02,-2.047800123691558838e-01,-1.349052512625220971e-04,3.120085276030488811e-05,4.700252545134059020e-04,-1.759208523815296299e-02,-4.811818708106065101e-02,-3.811054306378608425e-01
2.201783418655395508e+00,9.785701632499694824e-01,-1.317148469388484955e-02,-1.968674734234809875e-02,-2.045468091964721680e-01,-1.076637226071799056e-04,1.178882016716581942e-04,4.198363451402623275e-04,-1.772564936419736281e-02,-4.793255018312105736e-02,-3.807281980592607251e-01
2.212045431137084961e+00,9.785701632499694824e-01,-1.317148469388484955e-02,-1.968674734234809875e-02,-2.045468091964721680e-01,-1.076637226071799056e-04,1.178882016716581942e-04,4.198363451402623275e-04,-1.772564936419736281e-02,-4.793255018312105736e-02,-3.807281980592607251e-01
